timestamp_ms,acc_x,acc_y,acc_z
0,0.367636,0.984353,8.026908
10,0.196392,0.833467,8.248447
20,-0.067061,0.771196,8.362211
30,-0.176034,0.986748,8.437654
40,-0.159269,1.25499,8.5119
50,-0.421523,1.349594,8.510702
60,-0.643063,1.596281,8.557405
70,-0.474214,1.718427,8.632849
80,-0.168849,1.840573,8.860375
90,0.542472,1.893263,9.701027
100,0.828677,1.919608,10.317744
110,1.047821,1.814227,10.793156
120,1.189127,1.578318,11.011103
130,1.325643,1.223855,11.060201
140,0.626298,1.386716,10.614727
150,0.62031,1.129252,10.503359
160,0.90412,0.829874,10.556049
170,1.008303,0.504152,10.601555
180,1.140029,0.359253,10.781181
190,2.132765,0.210762,12.100837
200,2.309996,0.160466,12.845688
210,2.531536,-0.136516,13.394147
220,2.739902,-0.506547,13.554614
230,2.592609,-0.651445,13.207335
240,2.110012,-0.608335,11.633808
250,0.997526,-0.099393,10.936857
260,0.619113,0.071851,10.292597
270,0.281415,0.349673,9.635164
280,0.461041,0.689766,8.851993
290,0.833467,0.877775,8.119117
300,0.969983,1.262175,7.218589
310,0.767604,1.347198,7.183861
320,0.550855,1.286126,7.350315
330,0.495769,1.266965,7.65568
340,0.718506,1.308878,8.035291
350,1.51485,1.046624,8.623268
360,1.924398,0.967588,8.931028
370,2.100432,0.910107,9.280701
380,2.050137,0.872985,9.593251
390,1.775907,0.706531,9.860296
400,1.845363,0.368833,10.432706
410,2.132765,0.330513,10.577604
420,2.327959,0.213157,10.484199
430,2.492018,0.208367,10.226734
440,2.535128,0.332908,9.916579
450,1.911226,0.257465,9.508228
460,1.575923,0.265847,9.369317
470,1.433419,0.30297,9.193283
480,1.433419,0.301772,9.008866
490,1.438209,0.252675,8.836425
500,1.590293,0.583187,8.486753
510,2.011817,0.425116,8.413704
520,1.969904,0.477806,8.491542
530,1.719624,0.434696,8.660391
540,1.507665,0.265847,8.8005
550,1.619033,0.28381,8.885523
560,1.977089,0.665815,9.077125
570,1.712439,0.919688,9.335787
580,1.324446,0.88496,9.602831
590,0.827479,0.777184,9.764495
600,0.36524,0.911305,9.78605
610,-0.132924,1.086141,9.479487
620,0.137714,1.219065,9.323812
630,0.974773,1.201102,9.40644
640,1.977089,1.289718,9.754915
650,2.834506,1.135239,10.249487
660,3.651207,0.604742,10.994338
670,3.594924,0.484991,10.958412
680,3.295547,0.190404,10.681787
690,2.747087,-0.174836,10.565629
700,2.117197,-0.440684,10.794353
710,1.53401,-0.499362,12.008629
720,1.886078,-0.484991,12.203822
730,2.700385,-0.384401,11.752361
740,3.485951,-0.170046,10.644665
750,3.802094,0.166454,9.11784
760,3.463198,0.36524,6.422245
770,3.060835,0.143701,5.713319
780,2.561474,0.056283,5.22713
790,2.082469,-0.025148,5.078639
800,1.584306,-0.36045,5.413942
810,0.980761,-0.63947,7.125184
820,-0.489782,-1.298101,8.361013
830,-0.734074,-1.675316,8.939411
840,-0.608335,-1.536405,8.951385
850,-0.126936,-1.344804,8.558602
860,0.364043,-1.209485,8.150251
870,0.805924,-1.074166,8.187375
880,0.747246,-0.953218,8.358619
890,0.561632,-0.996328,8.247251
900,0.316143,-1.021476,7.8868
910,0.348475,-0.901725,7.450906
920,0.977168,-0.930465,7.644903
930,1.368754,-1.288521,8.092772
940,1.79866,-1.838178,8.568183
950,2.147135,-1.665736,8.974138
960,2.208208,-1.157992,9.216036
970,2.033372,-1.199905,8.480764
980,2.019001,-1.087339,7.591015
990,1.601071,-0.984353,6.74198
1000,0.813109,-0.871787,6.015092
1010,0.189207,-0.695753,5.78038
1020,0.467029,-1.409469,6.609056
1030,1.296903,-1.617836,7.623347
1040,2.368675,-1.881288,8.989706
1050,3.336262,-2.214196,10.521321
1060,3.949387,-2.281256,12.042159
1070,3.912265,-3.123106,13.451628
1080,2.084865,-3.305127,13.233681
1090,0.92807,-3.125501,12.761862
1100,0.197589,-2.742297,12.355906
1110,0.273032,-2.257306,12.268488
1120,1.110092,-2.064507,12.616963
1130,3.442841,-2.45729,14.247972
1140,4.372108,-2.401007,15.138919
1150,5.379214,-2.453698,15.756834
1160,6.4438,-2.70757,16.174765
1170,6.835386,-2.703977,16.399897
1180,5.009183,-2.108815,15.380816
1190,3.411705,-1.561553,14.063556
1200,1.913621,-1.049019,12.51278
1210,1.025068,-0.325723,11.199112
1220,0.935255,0.528102,10.935659
1230,3.349435,0.599952,15.384409
1240,5.182823,0.490979,19.587667
1250,6.564749,-0.180824,23.953789
1260,7.090456,-0.998723,27.460098
1270,6.546786,-1.296903,29.378508
1280,4.603228,-2.147135,27.030191
1290,3.925437,-2.586621,24.430397
1300,3.277584,-3.08718,22.448519
1310,2.900369,-3.6548,21.264181
1320,2.451303,-4.545747,20.38521
1330,1.104104,-6.74198,16.483723
1340,1.203497,-7.628138,13.019327
1350,1.805845,-8.137079,8.901091
1360,2.317182,-7.334748,4.745731
1370,2.190245,-5.853428,1.083746
1380,1.773512,-5.636679,-4.402046
1390,0.661025,-5.879773,-6.197114
1400,0.5772,-5.600753,-7.351513
1410,0.36524,-5.633086,-8.144264
1420,0.143701,-5.704937,-8.934621
1430,0.415536,-5.21755,-9.620794
1440,2.897974,-4.646338,-10.087823
1450,3.766168,-4.311035,-10.08423
1460,4.155359,-4.32301,-10.117761
1470,4.101471,-4.121829,-10.376423
1480,3.618875,-4.072731,-10.577604
1490,-0.058678,-3.639232,-10.600357
1500,-1.579515,-3.491939,-10.08902
1510,-2.581831,-3.408113,-9.524993
1520,-2.780618,-3.028502,-8.907078
1530,-1.561553,-2.254911,-7.539522
1540,2.652484,-1.978286,-1.520837
1550,3.490741,-1.810635,3.632047
1560,3.217709,-1.960324,10.027947
1570,2.190245,-3.192561,16.17716
1580,0.59636,-3.7027,20.954027
1590,-1.295706,-2.398612,23.535858
1600,-0.428709,-1.180745,22.102438
1610,1.349594,0.075443,20.550467
1620,2.818938,1.114882,19.815195
1630,3.384163,1.431024,20.419937
1640,2.840493,0.673001,23.71788
1650,0.882565,0.281415,24.885452
1660,-0.786764,0.547262,25.093819
1670,-2.347119,0.94244,24.571705
1680,-3.0776,1.128054,23.762188
1690,-3.097958,1.932781,22.73712
1700,-1.699266,2.108815,21.079765
1710,-0.797542,1.487307,21.536016
1720,-0.386796,0.97118,22.682034
1730,0.022753,0.130529,23.911877
1740,0.62989,-0.263452,25.074657
1750,1.101709,-0.64426,26.405092
1760,1.402284,-1.009501,25.292604
1770,1.975891,-0.924478,22.868845
1780,2.609374,-0.999921,20.07266
1790,2.969824,-1.179547,18.032103
1800,2.315984,-1.675316,15.293398
1810,1.931583,-1.729204,13.643229
1820,1.911226,-1.627416,11.547587
1830,1.773512,-1.293311,9.400452
1840,1.838178,-1.136437,7.683223
1850,2.73631,-1.719624,5.243896
1860,2.840493,-2.057322,3.823649
1870,2.350712,-2.259701,2.251318
1880,1.554368,-2.121987,0.764011
1890,1.043031,-2.048939,-0.488584
1900,1.046624,-1.80345,-3.574567
1910,1.580713,-1.874103,-5.726492
1920,2.293231,-1.343606,-7.747889
1930,2.017804,-0.744851,-9.807606
1940,1.319656,-0.159269,-11.293715
1950,0.785566,-0.053888,-10.921289
1960,0.975971,-0.768801,-10.023157
1970,1.631008,-1.001118,-9.369317
1980,2.526746,-0.822689,-9.144185
1990,3.454816,-0.680186,-8.927436
2000,4.321813,-0.408351,-8.1754
2010,4.695436,-1.055006,-2.662064
2020,3.428471,-2.211801,1.724414
2030,1.381926,-2.767445,6.491701
2040,-0.950823,-3.627257,10.839859
2050,-2.436933,-4.139791,14.370118
2060,-1.191522,-3.194956,16.659756
2070,0.790356,-2.608176,15.032341
2080,2.389032,-1.438209,13.311519
2090,3.212919,-0.349673,13.452826
2100,2.666854,-0.570015,16.014299
2110,-1.556763,-2.366279,23.018534
2120,-2.890789,-2.222578,24.838749
2130,-3.238066,-1.725612,25.408764
2140,-2.69799,-0.820294,25.208778
2150,-1.24541,0.00479,24.656727
2160,0.929268,0.650248,24.195686
2170,0.687371,0.682581,24.501051
2180,0.013173,0.504152,24.53458
2190,-0.843047,0.403561,23.465204
2200,-1.587898,0.781974,21.483326
2210,-2.105222,1.034649,17.877625
2220,-2.059717,0.866997,17.73033
2230,-2.13516,0.262255,18.64403
2240,-2.212998,-0.179626,19.5721
2250,-1.710044,-0.427511,19.599644
2260,-0.720901,-0.580792,16.545994
2270,0.402363,-0.456251,14.348562
2280,0.310155,-0.434696,12.688814
